Company
"Arista Networks, Inc"
ImFusion GmbH
"Cipher Tech Solutions, Inc"
Stardog Union
Odoo
FINN
IMS
Creative Assembly
atma.io 
CARIAD 
LeoVegas Mobile Gaming Group
Baker Hughes
ZEISS Group
Breuninger GmbH & Co.
Picnic
Copado Strategic Services
Catawiki
Chan Zuckerberg Initiative
IMC Trading
Motius GmbH
Rheinmetall 
Accenture Romania
ING Deutschland
MUFG
Assurance
Adyen.
Y42
Enveil
Yoco
AllTrails
Udemy
Adference GmbH
Thermo Fisher Scientific Careers
"Sailpoint Technologies, Inc."
Inductive Automation 
ASML
SpotMe
Fullscript
Geotab
Capital Group
The Home Depot
PHOENIX CONTACT GmbH & Co. KG
LinkedIn
Andela
MBition (Mercedes Benz AG)
Dell Technologies
Zühlke Engineering GmbH
CREDIT SUISSE AG
Vertica
JPMorgan Chase & Co.
Pentalog
Canonical
Discovery Direct-to-Consumer (Discovery Inc.)
Flip App
Lufthansa Industry Solutions
Zuhlke Engineering Ltd
funda
Delivery Hero SE
Apple
BAE Systems Digital Intelligence
Adevinta
Zuhlke Engineering EOOD
MOIA GmbH
Ford Motor Company
Abbott
PayPay Corporation.
3M Health Information Systems and The Digital Science Community 
Amazon Web Services (AWS)
Fidelity Investments
Northwestern Mutual
"DICK'S Sporting Goods, Inc. "
Luxoft 
G DATA CyberDefense AG
BAUHAUS AG
Bloomberg LP
Commonwealth Bank
Zühlke Engineering AG
Audible
Caterpillar Inc.
DraftKings
PAYBACK
If P&C Insurance
PwC
